trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-05-31,300467.SZ,11.67,13.54,11.46,13.06,13.16,-0.1,-0.7599,579854.03,720435.4299999999
2021-06-30,300467.SZ,13.02,15.8,12.67,14.16,13.98,0.18,1.2876,1284613.29,1839569.604
2021-07-31,300467.SZ,14.15,19.96,13.32,16.29,16.11,0.18,1.1173,2183043.91,3770989.228
2021-08-31,300467.SZ,16.19,16.19,12.43,13.26,13.87,-0.61,-4.398,1416563.32,1941828.616
2021-09-30,300467.SZ,13.14,16.4,13.01,13.8,13.92,-0.12,-0.8621,1258510.71,1786871.0960000001
2021-10-31,300467.SZ,13.92,14.66,11.91,12.74,12.31,0.43,3.4931,417273.42,557533.56
2021-11-30,300467.SZ,12.65,16.06,12.5,14.4,14.28,0.12,0.8403,1584015.89,2331472.786
2021-12-31,300467.SZ,14.4,18.71,13.44,16.64,17.32,-0.68,-3.9261,2145965.34,3436275.111
2022-01-31,300467.SZ,16.56,21.58,14.36,14.88,14.54,0.34,2.3384,3254592.45,5759518.363
2022-02-28,300467.SZ,14.58,19.0,13.71,16.36,16.69,-0.33,-1.9772,2657810.13,4344046.51
2022-03-31,300467.SZ,16.28,17.15,13.9,17.07,16.46,0.61,3.706,2635917.83,4141803.909
2022-04-30,300467.SZ,16.9,17.53,9.97,10.72,10.22,0.5,4.8924,1641039.31,2358076.64
2022-05-31,300467.SZ,10.71,11.65,10.29,11.34,11.22,0.12,1.0695,767255.19,852283.093
2022-06-30,300467.SZ,11.31,12.52,11.16,11.69,11.66,0.03,0.2573,1065194.36,1254818.627
2022-07-31,300467.SZ,11.67,13.0,10.31,11.68,11.85,-0.17,-1.4346,1140578.54,1309577.183
2022-08-31,300467.SZ,11.69,12.7,10.93,12.35,12.12,0.23,1.8977,1079542.55,1274553.957
2022-09-30,300467.SZ,12.38,12.59,9.9,10.0,9.99,0.01,0.1001,863530.71,990782.505
2022-10-31,300467.SZ,10.05,10.85,9.57,10.6,10.28,0.32,3.1128,433067.63,452657.369
2022-11-30,300467.SZ,10.65,12.61,10.54,11.28,11.07,0.21,1.897,1103305.18,1261546.326
2022-12-31,300467.SZ,11.23,12.19,10.8,11.91,11.69,0.22,1.882,936081.78,1082115.938
2023-01-31,300467.SZ,11.99,13.2,11.73,12.6,12.62,-0.02,-0.1585,864713.55,1074713.679
2023-02-28,300467.SZ,12.67,15.17,12.53,13.98,13.97,0.01,0.0716,1216167.79,1689676.626
